Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Plastic or Rubber,1419648.45,5757569.60,5.00,3.53,0.92,11.66,15.27,3.60,3.78,350,76.86,22.29,0.00,0.86,14.00,0.00,0.00,5615953.23,140781.14,3.60,3.78,350,76.86,22.29,0.00,0.86,14.00,0.00,0.00,5615953.23,140781.14,China,2003
Stone and Glass,245952.94,4579033.56,0.87,2.80,0.73,14.48,10.93,3.26,5.28,373,62.20,35.92,0.00,1.88,38.00,0.00,0.00,3791531.05,786812.17,3.26,5.28,373,62.20,35.92,0.00,1.88,38.00,0.00,0.00,3791531.05,786812.17,China,2003
Textiles and Clothing,1158517.95,12758017.78,4.08,7.81,0.68,6.55,56.88,9.28,9.59,1433,87.72,4.47,1.05,6.77,32.30,0.00,48685.25,12709483.91,46519.92,9.28,9.59,1433,87.72,4.47,1.05,6.77,32.30,0.00,48685.25,12709483.91,46519.92,China,2003
Transportation,2907434.91,2984647.30,10.25,1.83,1.96,23.28,3.99,2.29,2.86,186,49.46,50.54,0.00,0.00,25.00,0.00,0.00,2322467.02,659138.09,2.29,2.86,186,49.46,50.54,0.00,0.00,25.00,0.00,0.00,2322467.02,659138.09,China,2003
Vegetable,3169452.55,490834.06,11.17,0.30,2.93,33.29,48.05,3.41,2.53,398,32.41,25.63,0.00,41.96,35.44,0.00,0.00,414764.81,68192.38,3.41,2.53,398,32.41,25.63,0.00,41.96,35.44,0.00,0.00,414764.81,68192.38,China,2003
Wood,1367388.95,3752980.30,4.82,2.30,1.75,7.33,12.72,0.74,1.74,426,57.75,40.38,0.00,1.88,18.00,0.00,0.00,3146990.63,607049.10,0.74,1.74,426,57.75,40.38,0.00,1.88,18.00,0.00,0.00,3146990.63,607049.10,China,2003
All Products,34427686.53,210500129.01,100.00,100.00,1.00,16.61,14.82,3.78,3.06,8944,55.15,36.44,2.10,6.31,350.00,0.00,1754592.45,107395271.37,100754608.24,3.78,3.06,8944,55.15,36.44,2.10,6.31,350.00,0.00,1754592.45,107395271.37,100754608.24,China,2004
Capital goods,14124420.79,76188061.93,41.03,36.19,0.94,16.51,15.47,1.47,0.54,1529,43.56,55.59,0.52,0.33,25.00,0.00,45905.73,21610230.46,54550413.06,1.47,0.54,1529,43.56,55.59,0.52,0.33,25.00,0.00,45905.73,21610230.46,54550413.06,China,2004
Consumer goods,2810204.89,114490617.59,8.16,54.39,0.90,15.41,10.93,4.85,4.82,3313,59.73,27.26,4.01,8.99,205.62,0.00,1231170.59,78104686.72,36408174.47,4.85,4.82,3313,59.73,27.26,4.01,8.99,205.62,0.00,1231170.59,78104686.72,36408174.47,China,2004
Intermediate goods,6760750.99,15019640.35,19.64,7.14,0.89,10.60,7.85,4.30,2.94,3427,60.23,34.93,1.23,3.62,196.16,0.00,260203.44,6726706.00,8222346.48,4.30,2.94,3427,60.23,34.93,1.23,3.62,196.16,0.00,260203.44,6726706.00,8222346.48,China,2004
Raw materials,8264002.82,2435810.06,24.00,1.16,1.43,30.74,25.15,1.75,0.77,559,23.26,51.52,0.89,24.33,350.00,0.00,217312.68,827104.02,1562215.11,1.75,0.77,559,23.26,51.52,0.89,24.33,350.00,0.00,217312.68,827104.02,1562215.11,China,2004
Animal,409045.63,1363825.76,1.19,0.65,1.79,6.30,-21.78,1.55,0.15,111,24.32,66.67,0.90,8.11,109.56,0.00,2733.24,143599.59,1222569.33,1.55,0.15,111,24.32,66.67,0.90,8.11,109.56,0.00,2733.24,143599.59,1222569.33,China,2004
Chemicals,3041557.06,3947396.99,8.83,1.88,1.55,15.82,8.46,2.89,2.46,1511,68.96,30.11,0.00,0.93,13.48,0.00,0.00,2530147.10,1418257.60,2.89,2.46,1511,68.96,30.11,0.00,0.93,13.48,0.00,0.00,2530147.10,1418257.60,China,2004
Food Products,417296.49,1150330.57,1.21,0.55,2.11,15.49,8.44,7.68,6.22,569,45.34,18.45,3.51,32.69,350.00,0.00,88801.79,892770.35,257790.31,7.68,6.22,569,45.34,18.45,3.51,32.69,350.00,0.00,88801.79,892770.35,257790.31,China,2004
Footwear,38685.64,14375442.14,0.11,6.83,1.41,11.72,2.24,8.71,12.55,168,65.48,20.24,3.57,10.71,57.48,0.00,126738.37,13562336.86,815755.91,8.71,12.55,168,65.48,20.24,3.57,10.71,57.48,0.00,126738.37,13562336.86,815755.91,China,2004
Fuels,218126.40,1116821.97,0.63,0.53,0.08,28.14,15.95,1.12,0.39,43,6.98,51.16,32.56,9.30,16.49,0.00,259515.29,260078.56,859340.60,1.12,0.39,43,6.98,51.16,32.56,9.30,16.49,0.00,259515.29,260078.56,859340.60,China,2004
Hides and Skins,632342.44,6442091.79,1.84,3.06,1.94,11.45,11.21,3.80,8.16,210,81.90,17.62,0.00,0.48,20.00,0.00,0.00,6426498.46,24565.26,3.80,8.16,210,81.90,17.62,0.00,0.48,20.00,0.00,0.00,6426498.46,24565.26,China,2004
Mach and Elec,12139796.74,87134551.89,35.26,41.39,0.84,15.48,17.18,1.44,0.79,1361,44.53,55.11,0.29,0.07,15.00,0.00,7159.09,29821651.22,57304653.81,1.44,0.79,1361,44.53,55.11,0.29,0.07,15.00,0.00,7159.09,29821651.22,57304653.81,China,2004
Metals,2832717.02,11640069.56,8.23,5.53,0.66,11.03,8.33,1.90,2.27,852,45.19,49.41,3.76,1.64,15.00,0.00,579065.21,8054953.70,3586097.31,1.90,2.27,852,45.19,49.41,3.76,1.64,15.00,0.00,579065.21,8054953.70,3586097.31,China,2004
Minerals,243395.01,479691.07,0.71,0.23,0.25,50.19,74.22,0.33,0.22,89,6.74,87.64,2.25,3.37,9.74,0.00,5913.59,99506.98,380943.40,0.33,0.22,89,6.74,87.64,2.25,3.37,9.74,0.00,5913.59,99506.98,380943.40,China,2004
Miscellaneous,2266108.09,42413679.96,6.58,20.15,1.01,24.25,11.34,3.78,1.61,832,40.75,40.50,11.18,7.57,196.16,0.00,622449.75,12299457.41,30113570.20,3.78,1.61,832,40.75,40.50,11.18,7.57,196.16,0.00,622449.75,12299457.41,30113570.20,China,2004
Plastic or Rubber,2014310.98,7232384.27,5.85,3.44,1.03,15.13,20.02,3.50,3.76,360,77.22,22.78,0.00,0.00,14.00,0.00,0.00,7047114.52,185971.28,3.50,3.76,360,77.22,22.78,0.00,0.00,14.00,0.00,0.00,7047114.52,185971.28,China,2004
Stone and Glass,347187.80,5330190.23,1.01,2.53,0.67,14.84,8.74,3.20,5.26,370,61.89,36.49,0.00,1.62,38.00,0.00,0.00,4501838.34,826949.37,3.20,5.26,370,61.89,36.49,0.00,1.62,38.00,0.00,0.00,4501838.34,826949.37,China,2004
Textiles and Clothing,1930105.16,15889275.57,5.61,7.55,1.26,9.20,46.48,9.00,9.30,1436,81.89,12.74,1.11,4.25,32.00,0.00,62216.12,15711814.79,174188.77,9.00,9.30,1436,81.89,12.74,1.11,4.25,32.00,0.00,62216.12,15711814.79,174188.77,China,2004
Transportation,741988.14,4034311.74,2.16,1.92,2.04,5.46,6.05,2.51,2.45,189,51.85,48.15,0.00,0.00,25.00,0.00,0.00,3067992.04,971915.92,2.51,2.45,189,51.85,48.15,0.00,0.00,25.00,0.00,0.00,3067992.04,971915.92,China,2004
Vegetable,3027124.94,626408.66,8.79,0.30,3.41,22.53,30.08,3.25,2.46,426,30.99,26.29,0.00,42.72,31.69,0.00,0.00,538847.22,92329.58,3.25,2.46,426,30.99,26.29,0.00,42.72,31.69,0.00,0.00,538847.22,92329.58,China,2004
Wood,1670766.13,4958153.10,4.85,2.36,1.86,8.11,9.76,0.60,1.72,418,17.22,82.30,0.00,0.48,18.00,0.00,0.00,2436664.22,2522724.85,0.60,1.72,418,17.22,82.30,0.00,0.48,18.00,0.00,0.00,2436664.22,2522724.85,China,2004
All Products,41190674.56,259836016.75,100.00,100.00,1.00,8.44,4.37,3.80,3.13,9152,55.06,36.25,2.14,6.55,350.00,0.00,2153028.58,135320765.60,121608252.21,3.80,3.13,9152,55.06,36.25,2.14,6.55,350.00,0.00,2153028.58,135320765.60,121608252.21,China,2005
Capital goods,15100033.36,95953395.71,36.66,36.93,0.96,7.65,4.66,1.47,0.52,1544,43.39,55.70,0.58,0.32,25.00,0.00,51548.06,26598006.76,69317557.24,1.47,0.52,1544,43.39,55.70,0.58,0.32,25.00,0.00,51548.06,26598006.76,69317557.24,China,2005
Consumer goods,3553718.89,138554960.25,8.63,53.32,1.03,7.43,10.56,4.91,5.10,3380,59.64,26.75,4.11,9.50,350.00,0.00,1282279.16,97817412.92,40789808.20,4.91,5.10,3380,59.64,26.75,4.11,9.50,350.00,0.00,1282279.16,97817412.92,40789808.20,China,2005
Intermediate goods,8398922.50,19464599.20,20.39,7.49,0.96,6.03,5.49,4.30,2.23,3538,60.37,34.77,1.22,3.65,190.39,0.00,338084.98,9500294.58,9814602.06,4.30,2.23,3538,60.37,34.77,1.22,3.65,190.39,0.00,338084.98,9500294.58,9814602.06,China,2005
Raw materials,9603464.72,2969972.24,23.31,1.14,1.17,15.12,0.32,1.80,0.77,582,21.82,52.58,0.86,24.74,350.00,0.00,481116.38,1224797.17,1675157.46,1.80,0.77,582,21.82,52.58,0.86,24.74,350.00,0.00,481116.38,1224797.17,1675157.46,China,2005
Animal,671396.91,1518182.88,1.63,0.58,2.32,6.77,16.98,1.77,0.17,160,36.25,47.50,0.63,15.63,101.25,0.00,2660.51,173350.73,1344893.29,1.77,0.17,160,36.25,47.50,0.63,15.63,101.25,0.00,2660.51,173350.73,1344893.29,China,2005
Chemicals,3329559.66,5038322.13,8.08,1.94,1.49,9.31,3.00,2.94,2.70,1514,69.82,29.46,0.00,0.73,6.50,0.00,0.00,3460817.28,1560868.59,2.94,2.70,1514,69.82,29.46,0.00,0.73,6.50,0.00,0.00,3460817.28,1560868.59,China,2005
Food Products,304027.19,1422926.81,0.74,0.55,1.20,10.94,-19.59,8.47,5.88,586,44.88,18.26,3.58,33.28,350.00,0.00,86955.59,1087423.74,336154.22,8.47,5.88,586,44.88,18.26,3.58,33.28,350.00,0.00,86955.59,1087423.74,336154.22,China,2005
Footwear,48185.10,16034963.90,0.12,6.17,1.64,5.06,8.91,8.74,12.62,168,65.48,20.24,3.57,10.71,56.02,0.00,147282.61,15137670.45,893658.21,8.74,12.62,168,65.48,20.24,3.57,10.71,56.02,0.00,147282.61,15137670.45,893658.21,China,2005
Fuels,133834.87,1088773.09,0.32,0.42,0.07,15.52,3.62,1.31,0.69,53,9.43,43.40,37.74,9.43,16.10,0.00,533008.39,534753.61,548595.36,1.31,0.69,53,9.43,43.40,37.74,9.43,16.10,0.00,533008.39,534753.61,548595.36,China,2005
Hides and Skins,732514.67,7010491.85,1.78,2.70,2.16,2.92,4.31,3.94,8.26,202,83.66,15.84,0.00,0.50,20.00,0.00,0.00,6987408.15,23619.30,3.94,8.26,202,83.66,15.84,0.00,0.50,20.00,0.00,0.00,6987408.15,23619.30,China,2005
Mach and Elec,13069156.99,109432216.01,31.73,42.12,0.84,7.66,3.39,1.44,0.80,1368,44.66,54.97,0.29,0.07,15.00,0.00,1882.99,37909222.30,71541056.69,1.44,0.80,1368,44.66,54.97,0.29,0.07,15.00,0.00,1882.99,37909222.30,71541056.69,China,2005
Metals,4543627.51,14947173.04,11.03,5.75,0.78,7.97,13.11,1.85,2.20,877,44.58,50.29,3.65,1.48,15.00,0.00,696693.83,10013347.12,4929636.20,1.85,2.20,877,44.58,50.29,3.65,1.48,15.00,0.00,696693.83,10013347.12,4929636.20,China,2005
Minerals,537207.98,773433.34,1.30,0.30,0.31,21.60,31.17,0.35,0.18,94,7.45,86.17,2.13,4.26,8.30,0.00,3338.01,136546.59,636718.55,0.35,0.18,94,7.45,86.17,2.13,4.26,8.30,0.00,3338.01,136546.59,636718.55,China,2005
Miscellaneous,2606443.96,48042870.61,6.33,18.49,0.98,11.07,5.53,3.58,1.29,837,40.50,40.74,11.23,7.53,190.39,0.00,601561.04,14020590.03,34022556.91,3.58,1.29,837,40.50,40.74,11.23,7.53,190.39,0.00,601561.04,14020590.03,34022556.91,China,2005
Plastic or Rubber,2607863.87,9492864.36,6.33,3.65,1.13,8.90,9.70,3.50,3.79,362,77.35,22.65,0.00,0.00,14.00,0.00,0.00,9234608.78,263763.12,3.50,3.79,362,77.35,22.65,0.00,0.00,14.00,0.00,0.00,9234608.78,263763.12,China,2005
Stone and Glass,392553.13,6315641.36,0.95,2.43,0.70,7.75,5.88,3.36,5.25,364,63.46,34.62,0.00,1.92,38.00,0.00,0.00,5413238.65,903570.75,3.36,5.25,364,63.46,34.62,0.00,1.92,38.00,0.00,0.00,5413238.65,903570.75,China,2005
Textiles and Clothing,2035919.79,23905720.39,4.94,9.20,1.22,0.95,-4.38,8.93,10.14,1503,80.71,13.57,1.06,4.66,32.00,0.00,79645.62,23662244.18,240346.97,8.93,10.14,1503,80.71,13.57,1.06,4.66,32.00,0.00,79645.62,23662244.18,240346.97,China,2005
Transportation,1050931.90,5096242.21,2.55,1.96,2.92,0.93,16.24,2.46,2.29,196,51.53,48.47,0.00,0.00,25.00,0.00,0.00,3984632.44,1110488.24,2.46,2.29,196,51.53,48.47,0.00,0.00,25.00,0.00,0.00,3984632.44,1110488.24,China,2005
Vegetable,2577387.56,694111.42,6.26,0.27,3.24,-3.40,-9.30,3.01,2.41,433,30.48,27.02,0.00,42.49,29.80,0.00,0.00,587456.43,105362.87,3.01,2.41,433,30.48,27.02,0.00,42.49,29.80,0.00,0.00,587456.43,105362.87,China,2005
Wood,2025942.81,6129787.21,4.92,2.36,2.16,3.81,7.66,0.56,1.67,436,16.51,83.03,0.00,0.46,18.00,0.00,0.00,2977455.12,3153586.54,0.56,1.67,436,16.51,83.03,0.00,0.46,18.00,0.00,0.00,2977455.12,3153586.54,China,2005
All Products,55224097.11,305778876.10,100.00,100.00,1.00,9.51,10.31,3.74,3.07,9325,54.57,36.74,2.14,6.54,350.00,0.00,2285320.28,159534073.47,142747812.29,3.74,3.07,9325,54.57,36.74,2.14,6.54,350.00,0.00,2285320.28,159534073.47,142747812.29,China,2006
Capital goods,25802869.79,114346267.50,46.72,37.40,1.02,10.27,14.20,1.45,0.53,1577,43.25,55.93,0.51,0.32,25.00,0.00,49321.99,32400697.20,81870359.07,1.45,0.53,1577,43.25,55.93,0.51,0.32,25.00,0.00,49321.99,32400697.20,81870359.07,China,2006
Consumer goods,4428828.93,158660196.88,8.02,51.89,1.03,12.99,14.25,4.89,5.10,3379,59.51,26.90,4.26,9.32,350.00,0.00,1348983.20,113690385.58,45044278.65,4.89,5.10,3379,59.51,26.90,4.26,9.32,350.00,0.00,1348983.20,113690385.58,45044278.65,China,2006
Intermediate goods,10827792.06,25659806.76,19.61,8.39,0.97,4.65,6.29,4.20,2.07,3642,59.75,35.48,1.21,3.57,162.63,0.00,376542.97,11825956.86,13726149.69,4.20,2.07,3642,59.75,35.48,1.21,3.57,162.63,0.00,376542.97,11825956.86,13726149.69,China,2006
Raw materials,13436260.34,3620215.89,24.33,1.18,0.98,12.46,3.95,1.71,0.78,612,20.42,52.78,0.65,26.14,350.00,0.00,510472.13,1423961.54,2081416.01,1.71,0.78,612,20.42,52.78,0.65,26.14,350.00,0.00,510472.13,1423961.54,2081416.01,China,2006
Animal,974691.83,1888493.72,1.76,0.62,2.63,4.64,12.26,1.74,0.20,156,28.21,57.69,0.64,13.46,96.91,0.00,3557.63,221944.97,1666548.76,1.74,0.20,156,28.21,57.69,0.64,13.46,96.91,0.00,3557.63,221944.97,1666548.76,China,2006
Chemicals,3818004.86,5739376.91,6.91,1.88,1.44,5.39,4.65,2.94,2.79,1553,69.41,29.75,0.00,0.84,6.50,0.00,0.00,4004624.74,1739670.41,2.94,2.79,1553,69.41,29.75,0.00,0.84,6.50,0.00,0.00,4004624.74,1739670.41,China,2006
Food Products,393976.87,1860084.13,0.71,0.61,1.42,8.50,19.25,8.55,5.99,595,45.55,17.98,3.53,32.94,350.00,0.00,99998.45,1489360.48,370723.65,8.55,5.99,595,45.55,17.98,3.53,32.94,350.00,0.00,99998.45,1489360.48,370723.65,China,2006
Footwear,66742.51,17444008.54,0.12,5.70,1.76,7.48,12.17,8.71,12.49,168,65.48,20.24,3.57,10.71,54.93,0.00,136596.68,16401837.24,1042171.30,8.71,12.49,168,65.48,20.24,3.57,10.71,54.93,0.00,136596.68,16401837.24,1042171.30,China,2006
Fuels,205759.46,1263998.87,0.37,0.41,0.04,17.91,-5.84,1.40,0.93,47,10.64,38.30,42.55,8.51,15.55,0.00,601671.55,603093.70,660905.17,1.40,0.93,47,10.64,38.30,42.55,8.51,15.55,0.00,601671.55,603093.70,660905.17,China,2006
Hides and Skins,935509.14,7560522.34,1.69,2.47,2.28,7.56,11.38,3.82,8.34,205,81.46,18.05,0.00,0.49,20.00,0.00,0.00,7541799.58,18722.76,3.82,8.34,205,81.46,18.05,0.00,0.49,20.00,0.00,0.00,7541799.58,18722.76,China,2006
Mach and Elec,17882181.36,131206974.67,32.38,42.91,0.87,10.01,12.76,1.43,0.84,1399,44.46,55.18,0.29,0.07,15.00,0.00,1246.31,47126347.74,84080626.94,1.43,0.84,1399,44.46,55.18,0.29,0.07,15.00,0.00,1246.31,47126347.74,84080626.94,China,2006
Metals,6771223.19,20220015.29,12.26,6.61,0.77,2.78,2.85,1.79,1.98,920,43.26,51.74,3.48,1.52,15.00,0.00,738274.99,12319186.51,7900828.77,1.79,1.98,920,43.26,51.74,3.48,1.52,15.00,0.00,738274.99,12319186.51,7900828.77,China,2006
Minerals,579195.85,1222468.38,1.05,0.40,0.25,10.50,-0.32,0.26,0.13,96,7.29,88.54,1.04,3.13,3.00,0.00,3663.81,153080.00,1069388.37,0.26,0.13,96,7.29,88.54,1.04,3.13,3.00,0.00,3663.81,153080.00,1069388.37,China,2006
Miscellaneous,3177541.16,52996785.80,5.75,17.33,0.95,8.05,6.80,3.50,1.29,837,40.38,40.98,11.11,7.53,162.63,0.00,616130.00,15705630.98,37291154.82,3.50,1.29,837,40.38,40.98,11.11,7.53,162.63,0.00,616130.00,15705630.98,37291154.82,China,2006
Plastic or Rubber,3160258.71,11002554.19,5.72,3.60,1.06,9.08,6.85,3.54,3.73,364,77.47,22.53,0.00,0.00,14.00,0.00,0.00,10588847.13,413707.06,3.54,3.73,364,77.47,22.53,0.00,0.00,14.00,0.00,0.00,10588847.13,413707.06,China,2006
Stone and Glass,676507.33,7364044.02,1.23,2.41,0.88,11.75,26.09,3.25,5.25,375,62.40,35.73,0.00,1.87,38.00,0.00,0.00,6322862.67,1041181.35,3.25,5.25,375,62.40,35.73,0.00,1.87,38.00,0.00,0.00,6322862.67,1041181.35,China,2006
Textiles and Clothing,2774327.73,27989162.66,5.02,9.15,1.56,4.65,19.13,8.97,10.34,1531,80.27,13.13,1.44,5.16,32.00,0.00,84180.87,27705463.04,283699.62,8.97,10.34,1531,80.27,13.13,1.44,5.16,32.00,0.00,84180.87,27705463.04,283699.62,China,2006
Transportation,7589414.87,6216978.48,13.74,2.03,3.19,22.43,28.79,2.37,2.06,200,50.50,49.50,0.00,0.00,25.00,0.00,0.00,4942105.73,1274872.74,2.37,2.06,200,50.50,49.50,0.00,0.00,25.00,0.00,0.00,4942105.73,1274872.74,China,2006
Vegetable,2926563.97,891227.86,5.30,0.29,2.71,1.45,-6.67,2.89,2.82,434,30.18,26.50,0.00,43.32,29.80,0.00,0.00,769878.88,116430.74,2.89,2.82,434,30.18,26.50,0.00,43.32,29.80,0.00,0.00,769878.88,116430.74,China,2006
Wood,2576747.99,7422120.64,4.67,2.43,2.15,4.78,5.25,0.54,1.75,446,16.14,83.41,0.00,0.45,18.00,0.00,0.00,3638010.09,3784110.55,0.54,1.75,446,16.14,83.41,0.00,0.45,18.00,0.00,0.00,3638010.09,3784110.55,China,2006
All Products,65237883.48,340106645.76,100.00,100.00,1.00,9.91,8.28,3.65,2.88,8161,50.06,40.50,2.43,7.02,350.00,0.00,2993281.58,156120362.13,180023325.94,3.65,2.88,8161,50.06,40.50,2.43,7.02,350.00,0.00,2993281.58,156120362.13,180023325.94,China,2007
Capital goods,29094016.97,125794853.01,44.60,36.99,0.98,7.73,4.16,1.04,0.20,1139,30.47,68.31,0.88,0.35,16.00,0.00,47912.70,20379530.12,106814255.09,1.04,0.20,1139,30.47,68.31,0.88,0.35,16.00,0.00,47912.70,20379530.12,106814255.09,China,2007
Consumer goods,5389785.93,179787668.69,8.26,52.86,1.07,9.91,10.30,5.03,4.93,3158,57.50,28.44,4.53,9.53,350.00,0.00,2449180.28,121971310.57,56406589.10,5.03,4.93,3158,57.50,28.44,4.53,9.53,350.00,0.00,2449180.28,121971310.57,56406589.10,China,2007
Intermediate goods,13348548.89,26853796.18,20.46,7.90,1.04,9.94,12.27,3.98,1.96,3148,53.91,41.17,1.21,3.72,140.43,0.00,333485.35,12182556.86,14572116.87,3.98,1.96,3148,53.91,41.17,1.21,3.72,140.43,0.00,333485.35,12182556.86,14572116.87,China,2007
Raw materials,16734877.41,3704157.69,25.65,1.09,0.97,15.51,13.17,1.77,1.07,602,21.93,51.83,1.16,25.08,350.00,0.00,162703.26,1356413.09,2192525.53,1.77,1.07,602,21.93,51.83,1.16,25.08,350.00,0.00,162703.26,1356413.09,2192525.53,China,2007
Animal,1468681.66,2060093.45,2.25,0.61,3.27,13.67,24.76,2.14,0.24,202,30.20,48.02,0.50,21.29,91.18,0.00,2656.46,255377.39,1804716.05,2.14,0.24,202,30.20,48.02,0.50,21.29,91.18,0.00,2656.46,255377.39,1804716.05,China,2007
Chemicals,5031795.77,6793972.81,7.71,2.00,1.50,10.19,10.46,2.58,2.17,1166,60.12,38.85,0.00,1.03,6.65,0.00,0.00,3970185.33,2827728.23,2.58,2.17,1166,60.12,38.85,0.00,1.03,6.65,0.00,0.00,3970185.33,2827728.23,China,2007
Food Products,480552.94,2234457.45,0.74,0.66,1.53,5.65,8.04,9.31,5.94,497,41.85,20.93,5.43,31.79,350.00,0.00,211083.34,1573676.25,660781.21,9.31,5.94,497,41.85,20.93,5.43,31.79,350.00,0.00,211083.34,1573676.25,660781.21,China,2007
Footwear,46211.15,17768697.51,0.07,5.22,1.12,10.35,-12.99,8.13,11.94,174,64.94,20.11,3.45,11.49,54.59,0.00,913017.50,16601380.19,1167317.32,8.13,11.94,174,64.94,20.11,3.45,11.49,54.59,0.00,913017.50,16601380.19,1167317.32,China,2007
Fuels,297857.02,724897.60,0.46,0.21,0.05,8.65,19.52,1.06,1.31,54,9.26,46.30,37.04,7.41,18.92,0.00,256170.91,257441.51,467456.09,1.06,1.31,54,9.26,46.30,37.04,7.41,18.92,0.00,256170.91,257441.51,467456.09,China,2007
Hides and Skins,1039533.76,7930638.61,1.59,2.33,2.36,4.59,4.92,3.94,8.46,207,82.13,17.39,0.00,0.48,20.00,0.00,0.00,7910092.34,20546.27,3.94,8.46,207,82.13,17.39,0.00,0.48,20.00,0.00,0.00,7910092.34,20546.27,China,2007
Mach and Elec,19520325.73,145044960.62,29.92,42.65,0.84,7.76,4.25,1.06,0.40,993,32.53,67.07,0.40,0.00,12.50,0.00,162764.81,37743478.35,107319132.78,1.06,0.40,993,32.53,67.07,0.40,0.00,12.50,0.00,162764.81,37743478.35,107319132.78,China,2007
Metals,7525742.19,22547407.65,11.54,6.63,0.80,13.98,14.48,1.45,1.79,849,36.51,57.95,3.89,1.65,15.00,0.00,764014.29,12755953.83,9791453.82,1.45,1.79,849,36.51,57.95,3.89,1.65,15.00,0.00,764014.29,12755953.83,9791453.82,China,2007
Minerals,1071327.74,914430.60,1.64,0.27,0.31,28.76,40.63,0.27,0.18,93,6.45,86.02,1.08,6.45,4.65,0.00,1303.82,188025.81,726404.79,0.27,0.18,93,6.45,86.02,1.08,6.45,4.65,0.00,1303.82,188025.81,726404.79,China,2007
Miscellaneous,4283819.55,64237677.91,6.57,18.89,0.93,9.22,6.73,3.39,1.07,715,37.20,43.92,11.33,7.55,140.43,0.00,592163.81,16526584.35,43748135.87,3.39,1.07,715,37.20,43.92,11.33,7.55,140.43,0.00,592163.81,16526584.35,43748135.87,China,2007
Plastic or Rubber,4175120.34,12543493.20,6.40,3.69,1.29,8.98,18.33,3.24,3.68,290,71.38,28.62,0.00,0.00,14.00,0.00,0.00,12048472.99,477348.15,3.24,3.68,290,71.38,28.62,0.00,0.00,14.00,0.00,0.00,12048472.99,477348.15,China,2007
Stone and Glass,899461.16,7931080.86,1.38,2.33,0.86,11.96,8.88,3.31,5.15,354,61.86,37.29,0.00,0.85,38.00,0.00,0.00,6789527.49,1141553.37,3.31,5.15,354,61.86,37.29,0.00,0.85,38.00,0.00,0.00,6789527.49,1141553.37,China,2007
Textiles and Clothing,2254251.95,32918512.57,3.46,9.68,1.31,-0.59,-10.10,9.01,10.76,1512,80.69,12.96,1.59,4.76,32.00,0.00,82015.65,32563013.82,355498.74,9.01,10.76,1512,80.69,12.96,1.59,4.76,32.00,0.00,82015.65,32563013.82,355498.74,China,2007
Transportation,9267373.39,7273786.06,14.21,2.14,2.93,8.53,2.51,1.26,1.39,158,31.01,68.99,0.00,0.00,14.00,0.00,0.00,2270194.16,5003591.89,1.26,1.39,158,31.01,68.99,0.00,0.00,14.00,0.00,0.00,2270194.16,5003591.89,China,2007
Vegetable,4593801.83,1044236.86,7.04,0.31,2.77,24.18,23.84,3.04,2.70,417,31.41,24.94,0.24,43.41,29.80,0.00,8090.99,927020.16,113297.51,3.04,2.70,417,31.41,24.94,0.24,43.41,29.80,0.00,8090.99,927020.16,113297.51,China,2007
Wood,3282027.30,8138301.99,5.03,2.39,2.37,10.73,14.58,0.75,1.66,480,20.00,78.96,0.00,1.04,18.00,0.00,0.00,3739938.14,4398363.85,0.75,1.66,480,20.00,78.96,0.00,1.04,18.00,0.00,0.00,3739938.14,4398363.85,China,2007
All Products,71456411.76,356304560.71,100.00,100.00,1.00,8.84,8.31,3.75,3.09,9169,55.84,35.74,2.28,6.14,350.00,0.00,3254103.02,185451678.38,166678391.58,3.75,3.09,9169,55.84,35.74,2.28,6.14,350.00,0.00,3254103.02,185451678.38,166678391.58,China,2008
Capital goods,28996283.90,129911393.39,40.58,36.46,0.98,3.34,2.97,1.47,0.60,1476,46.07,52.91,0.68,0.34,25.00,0.00,53754.09,38433752.75,91842262.82,1.47,0.60,1476,46.07,52.91,0.68,0.34,25.00,0.00,53754.09,38433752.75,91842262.82,China,2008
Consumer goods,6254981.28,183448056.78,8.75,51.49,1.09,14.16,14.64,4.87,4.99,3355,60.39,26.80,4.44,8.38,350.00,0.00,2269704.90,129261821.59,53770586.53,4.87,4.99,3355,60.39,26.80,4.44,8.38,350.00,0.00,2269704.90,129261821.59,53770586.53,China,2008
